,0
PP_SF3A2,1
PP_METTL26,1
M_FSIP2,1
T_SNX10,1
T_MTBP,1
T_NKAIN3,1
T_NTRK3,1
T_YEATS2,1
PP_UTP18,1
P_FAM49B,1
T_LOC112268153,1
T_TUSC5,1
T_PLK1,1
T_LOC107985664,1
T_LINC01315,1
P_ACKR1,1
P_CD81,1
T_TRIP13,1
T_PSMC3IP,1
T_AUNIP,1
T_TK1,1
P_PRDX6,1
P_AKR7A2,1
P_ECHDC2,1
P_SYMPK,1
P_ALDH6A1,1
T_ACOX3,1
T_MYH9,1
PP_SLC35A5,1
P_SBSPON,1
P_C1RL,1
PP_GAP43,1
T_KRT33A,1
T_FAM3B,1
T_KLF8,1
T_MAML3,1
P_ATRN,1
P_CDH5,1
M_BCL3,1
T_RNASE4,1
P_VWF,1
T_TUBB,1
P_POLR2H,1
T_IL11RA,1
M_VSX1,1
P_DDX21,1
T_EIF3L,1
P_ADD1,1
P_REL,1
P_RAN,1
T_TCAIM,1
T_TNMD,1
T_KIF2C,1
P_SORBS1,1
T_KIAA1211L,1
PP_STK38L,1
PP_TTYH3,1
T_IL17RC,1
P_NIP7,1
P_EPHX2,1
PP_FERMT2,1
P_EIF2S2,1
P_KANK2,1
PP_ALDH1A1,1
P_NDE1,1
P_ACAT1,1
T_PADI1,1
T_RHCG,1
P_LRG1,1
T_EMCN,1
P_MED8,1
P_APOA1,1
T_LDHD,1
T_MIR4435-2HG,1
T_SALL4,1
P_FKBP9,1
T_SORCS1,1
T_KRT32,1
P_LYSMD3,1
T_BIRC5,1
T_LOC101927516,1
T_TMPRSS11BNL,1
T_SRSF5,1
T_LOC105370786,1
T_BMS1P17,1
T_SLC6A4,1
T_ZNF626,1
M_ZNF667,1
M_EOMES,1
P_A2M,1
M_CNTNAP5,1
M_ADAM33,1
T_LINC00417,1
P_CRTAP,1
T_MFHAS1,1
P_MTHFD1L,1
T_HOPX,1
T_PITX1,1
T_TMEM158,1
T_BICD1,1
T_THSD4,1
T_HOXA11,1
T_LINC02081,1
T_LRRFIP2,1
P_KIAA1211L,1
T_GBP6,1
T_EPB41L4A-AS2,1
T_MAGI3,1
T_ACOX2,1
PP_TRAM2,1
T_EME1,1
T_HASPIN,1
T_LOC107984425,1
T_GPR176,1
M_AVPR1A,1
T_LOC100128059,1
P_EMILIN3,1
T_LOC107986430,1
P_LAS1L,1
T_QSOX2,1
T_ALDH1L1-AS2,1
T_CYP3A5,1
M_GPR75,1
T_ZDHHC15,1
P_PTGDS,1
P_GTF2E2,1
PP_UTRN,1
P_PRRC2C,1
P_NUP88,1
T_RELT,1
T_COL1A1,1
T_NOP53,1
P_PLOD3,1
T_ZNF844,1
P_RRP1,1
T_PRKDC,1
T_NUP62,1
T_EXOC1L,1
P_ECHDC3,1
T_SLC20A1,1
M_CHAT,1
T_CYP4B1,1
T_TMEM26,1
T_PRX,1
T_DNMT1,1
T_AQP7,1
T_LCAL1,1
T_OAT,1
T_C1orf112,1
M_NPFFR1,1
T_RPL32,1
T_LOC105377928,1
P_RASIP1,1
M_ADAMTS20,1
M_TMEM132D,1
M_ZBED9,1
P_PARP12,1
M_VSTM2A,1
M_FOXR1,1
P_APOF,1
PP_SOCS6,1
T_SNX31,1
T_CKS2,1
T_NDE1,1
P_RRP1B,1
T_CKS1B,1
T_SLC38A7,1
T_SOX11,1
T_LOC107984611,1
P_PRPF3,1
T_FGD6,1
T_LOC105371401,1
M_SEC31B,1
T_LOC105371753,1
T_COL13A1,1
M_FOXD2,1
T_KNTC1,1
P_DDX5,1
T_TRAM2,1
T_PAX9,1
T_HAUS8,1
T_GYS2,1
PP_WNK4,1
T_MOGAT1,1
T_CELSR3,1
M_TAC1,1
PP_CCNK,1
P_PEBP1,1
PP_ZBTB7B,1
T_MMP13,1
T_SLC16A7,1
T_AMPD2,1
T_TNFRSF12A,1
P_UBXN6,1
P_FETUB,1
P_PCCB,1
PP_AKAP12,1
T_PRELID3A,1
P_CLCA4,1
T_RFC4,1
PP_NEFM,1
